Alias_3;Gene_name;Alias_1;Alias_2;Rule
b0002;ThrA;thra;thrA;(NOT (thr_DASH_L_e > 0 OR ile_DASH_L_e > 0))
b0003;ThrB;thrb;thrB;(NOT (thr_DASH_L_e > 0 OR ile_DASH_L_e > 0))
b0004;ThrC;thrc;thrC;(NOT (thr_DASH_L_e > 0 OR ile_DASH_L_e > 0))
b0007;YaaJ;yaaj;yaaJ;TRUE
b0008;TalB;talb;talB;TRUE
b0019;NhaA;nhaa;nhaA;((NhaR) OR (RpoS))
b0020;NhaR;nhar;nhaR;(na1_e > 0)
b0025;RibF;ribf;ribF;TRUE
b0029;LytB;lytb;lytB;TRUE
b0031;DapB;dapb;dapB;(NOT lys_DASH_L_e > 0)
b0032;CarA;cara;carA;(NOT ArgR)
b0033;CarB;carb;carB;(NOT ArgR)
b0034;CaiF;caif;caiF;(Fnr AND Crp AND NOT NarL)
b0036;CaiD;caid;caiD;(Crp AND CaiF)
b0038;CaiB;caib;caiB;(Crp AND CaiF)
b0040;CaiT;cait;caiT;(Crp AND CaiF)
b0048;FolA;fola;folA;TRUE
b0049;ApaH;apah;apaH;TRUE
b0052;PdxA;pdxa;pdxA;(RpoE)
b0061;AraD;arad;araD;(AraC OR (AraC AND Crp))
b0062;AraA;araa;araA;(AraC OR (AraC AND Crp))
b0063;AraB;arab;araB;(AraC OR (AraC AND Crp))
b0064;AraC;arac;araC;(arab_DASH_L_e > 0)
b0066;SfuC;sfuc;sfuC;TRUE
b0067;SfuB;sfub;sfuB;TRUE
b0068;SfuA;sfua;sfuA;TRUE
b0071;LeuD;leud;leuD;(NOT(leu_DASH_L_e > 0) OR Lrp)
b0072;LeuC;leuc;leuC;(NOT(leu_DASH_L_e > 0) OR Lrp)
b0073;LeuB;leub;leuB;(NOT(leu_DASH_L_e > 0) OR Lrp)
b0074;LeuA;leua;leuA;(NOT(leu_DASH_L_e > 0) OR Lrp)
b0077;IlvI;ilvi;ilvI;(Lrp AND NOT (leu_DASH_L_e > 0))
b0078;IlvH;ilvh;ilvH;(Lrp AND NOT (leu_DASH_L_e > 0))
b0080;FruR;frur;fruR;( NOT ( ( (NOT ( FBP > 0) AND NOT (TKT2 > 0 OR TALA > 0 OR PGI > 0)) OR fru_e > 0) ) )
b0085;MurE;mure;murE;TRUE
b0086;MurF;murf;murF;TRUE
b0087;MraY;mray;mraY;TRUE
b0088;MurD;murd;murD;TRUE
b0090;MurG;murg;murG;TRUE
b0091;MurC;murc;murC;TRUE
b0092;DdlB;ddlb;ddlB;TRUE
b0096;LpxC;lpxc;lpxC;TRUE
b0099;MutT;mutt;mutT;TRUE
